SDSS_objID,redshift,M_r,M_r_err,gr,gr_err,logab,fracDeV,red
587741533330342060,0.0614,-20.99,0.01,0.476,0.017,0.043,0.45,0
588010358011527392,0.0496,-20.55,0.01,0.521,0.022,0.036,0.00,0
587725074994692275,0.0832,-21.48,0.01,0.641,0.022,0.172,0.18,0
587728307492290594,0.0850,-21.92,0.01,0.647,0.021,0.100,0.05,0
587726101482962981,0.0373,-21.31,0.01,0.434,0.018,0.053,0.42,0
587727178985767074,0.0769,-22.72,0.01,0.643,0.017,0.100,0.46,0
588017110753476772,0.0546,-20.60,0.01,0.434,0.020,0.128,0.05,0
587733603730522222,0.0300,-20.88,0.00,0.660,0.015,0.027,0.39,1
588013383817429147,0.0300,-20.41,0.00,0.513,0.016,0.087,0.40,0
588017116128084204,0.0702,-22.04,0.00,0.585,0.016,0.059,0.02,0
588017626165084347,0.0804,-21.72,0.01,0.418,0.020,0.041,0.06,0
587739707940536424,0.0316,-20.94,0.00,0.566,0.015,0.013,0.12,0
587736812593938647,0.0780,-21.62,0.01,0.438,0.021,0.152,0.18,0
587739303148257430,0.0374,-20.33,0.01,0.728,0.021,0.072,0.01,1
587739810483798187,0.0489,-20.28,0.09,0.434,0.106,0.096,0.01,0
587739646205624406,0.0355,-20.70,0.01,0.583,0.019,0.119,0.37,0
587728917910782107,0.0682,-20.57,0.02,0.345,0.025,0.124,0.22,0
587733399186440393,0.0784,-22.49,0.01,0.557,0.022,0.084,0.33,0
587726877813965127,0.0765,-20.67,0.02,0.458,0.038,0.047,0.00,0
587726879961514159,0.0606,-21.40,0.01,0.468,0.021,0.180,0.09,0
587741709397787154,0.0647,-20.43,0.02,0.447,0.026,0.124,0.05,0
587729154670395593,0.0618,-21.26,0.01,0.520,0.017,0.165,0.00,0
587725818021085352,0.0804,-20.78,0.01,0.323,0.022,0.072,0.19,0
587736543090311257,0.0547,-21.74,0.01,0.569,0.017,0.114,0.15,0
587738948288708832,0.0688,-20.24,0.01,0.551,0.021,0.091,0.12,0
587734949666881571,0.0321,-21.05,0.00,0.657,0.015,0.170,0.48,1
587727221934916031,0.0636,-22.00,0.01,0.591,0.018,0.080,0.25,0
587739406265024828,0.0346,-21.15,0.00,0.674,0.015,0.198,0.39,1
587735491355344970,0.0604,-21.71,0.01,0.625,0.016,0.077,0.27,0
588017626701693084,0.0685,-21.49,0.01,0.675,0.017,0.147,0.41,1
587727178465280126,0.0543,-20.71,0.01,0.520,0.020,0.131,0.05,0
587739608626561117,0.0610,-21.24,0.01,0.537,0.018,0.168,0.00,0
588017116663578769,0.0715,-20.99,0.01,0.476,0.018,0.078,0.26,0
587732483277651999,0.0636,-22.44,0.00,0.551,0.015,0.021,0.36,0
587726878887116999,0.0762,-22.15,0.01,0.595,0.017,0.018,0.25,0
587736752467673179,0.0731,-22.21,0.00,0.563,0.016,0.098,0.37,0
587735344799547580,0.0495,-20.72,0.01,0.438,0.018,0.164,0.00,0
587726031727689817,0.0550,-21.39,0.01,0.545,0.017,0.176,0.19,0
588017569775747167,0.0651,-21.22,0.01,0.538,0.019,0.010,0.05,0
587739296697352311,0.0810,-22.52,0.01,0.618,0.017,0.151,0.32,0
587731886807253343,0.0802,-21.24,0.01,0.422,0.020,0.048,0.09,0
587731886807974135,0.0719,-21.29,0.01,0.482,0.017,0.178,0.00,0
587726031701540990,0.0328,-21.55,0.00,0.626,0.015,0.037,0.36,0
